ID,pred
ID_2575,6576679631.08
ID_6637,43390823.05
ID_5704,3443971.6
ID_3606,1481396.8
ID_6443,278932.2
ID_2514,439925278.43
ID_1099,46460133.38
ID_6504,122626043.64
ID_3335,6619412049.75
ID_4770,43747625.11
ID_433,333631809.82
ID_6751,748939753.99
ID_2635,1477701.0
ID_2773,811895267.98
ID_5167,222225217.39
ID_2879,306379104.49
ID_2778,463414.7
ID_6548,511455.26
ID_124,415908734.3
ID_3700,360333.4
ID_6949,14050371.42
ID_2727,232245645.77
ID_5315,220888147.34
ID_5222,368390367.42
ID_6916,1735631858.0
ID_5034,411730.7
ID_4971,28922391.56
ID_4147,251888584.96
ID_6503,1524180.76
ID_3622,974930940.92
ID_3642,4287674156.39
ID_4988,434064424.64
ID_255,345569199.47
ID_1349,276013069.63
ID_5208,67219869.77
ID_3780,300902959.85
ID_1326,37583586.22
ID_1375,461229264.67
ID_3283,1976335.42
ID_6265,1034095968.97
ID_31,596014315.13
ID_2498,6067893.07
ID_3664,205889986.71
ID_1588,492621.0
ID_3310,332590531.64
ID_7116,122394279.57
ID_3122,1928718004.7
ID_4228,1888972054.4
ID_2778,463414.7
ID_3391,31468391.36
ID_5681,415697.4
ID_5927,15884993.09
ID_6143,83652876.75
ID_2990,173848558.83
ID_6792,67198550.25
ID_4530,1535196.8
ID_4602,1922110191.8
ID_5865,31409056.55
ID_3565,20480963.59
ID_4488,1810642.62
ID_2807,10148213184.23
ID_1425,57453812.6
ID_918,3105407.0
ID_4856,8470118931.17
ID_6650,265216709.02
ID_1909,692653418.36
ID_3657,5971566155.21
ID_1721,819381705.42
ID_5993,222547900.74
ID_366,65340947.11
ID_5884,296679409.57
ID_4570,248350386.63
ID_2494,7826858.2
ID_3155,323110617.37
ID_96,147475316.1
ID_5675,359541370.8
ID_4896,461403149.19
ID_5618,403096.7
ID_7048,329005603.07
ID_5708,787820666.64
ID_1790,1899449025.92
ID_2856,608453820.64
ID_6178,554390614.59
ID_5436,162562791.86
ID_1673,7826858.2
ID_6902,131917238.3
ID_6117,1535196.8
ID_4934,92723073.4
ID_7254,234107446.64
ID_6598,998465688.57
ID_19,7848871.85
ID_3128,283476773.73
ID_3538,93926090.58
ID_4420,2688583205.29
ID_5800,882759127.73
ID_2129,9299042.5
ID_1085,135224526.94
ID_5574,566871775.73
ID_7161,291189427.06
ID_485,209935406.95
ID_609,313467685.48
ID_5594,4909422030.83
ID_2903,12450060.9
ID_5014,790581204.35
ID_2347,6533838972.75
ID_6964,123776223.09
ID_1765,168611503.27
ID_4042,1877267821.1
ID_4040,522354562.5
ID_2266,1893561223.6
ID_7131,225486447.32
ID_4624,1300233262.52
ID_4085,83652876.75
ID_635,636720921.5
ID_6805,299304423.0
ID_6187,30084140.8
ID_4520,267198417.17
ID_5446,32229331.34
ID_714,1892676.98
ID_6053,419530763.92
ID_3131,214008724.3
ID_6929,360380184.08
ID_6799,171034486.71
ID_4766,1810642.62
ID_461,3105407.0
ID_7194,5248875123.16
ID_5927,15884993.09
ID_4075,363839.4
ID_3903,582753585.88
ID_2799,436547767.25
ID_5268,548941636.98
ID_7155,1734875749.5
ID_4502,31671286.75
ID_187,137006679.95
ID_6833,781882688.53
ID_2916,1951127.16
ID_6906,37413791.21
ID_2815,235566408.73
ID_2587,63108407.41
ID_5120,1008411064.06
ID_5694,1003791154.53
ID_2472,244071610.92
ID_442,856501770.2
ID_3317,478025281.51
ID_4700,308683988.79
ID_2852,1594671191.91
ID_7231,191743602.12
ID_7243,1500161.5
ID_6766,208002953.63
ID_4658,4116984992.33
ID_1225,1905765245.02
ID_6791,37434227.61
ID_5881,239888987.92
ID_850,91502103.11
ID_1921,266683961.89
ID_3279,4973142099.34
ID_1243,396897.2
ID_1774,738096259.07
ID_224,346342635.27
ID_5607,83652876.75
ID_49,3105407.0
ID_296,241742430.23
ID_6508,2266117455.98
ID_1070,1892676.98
ID_6985,4236748911.2
ID_2539,1311434326.47
ID_2526,865394444.09
ID_6766,208002953.63
ID_607,5980207600.28
ID_4896,461403149.19
ID_6007,1130044520.15
ID_5904,991539567.09
ID_5525,414213140.17
ID_939,3696701783.9
ID_5602,857137491.54
ID_1045,510827.6
ID_2794,410085.8
ID_1969,389756.2
